carId;model;version;price;fuel;year;kms;power;doors;change;color
0;C1;CITROEN C1 PureTech 60KW 82CV Feel 5p.;6200;Gasolina;2017;50071;82;5;Manual;Blanco
1;Transit Connect;FORD Transit Connect Van 1.5 TDCi 100cv Ambiente 200 L1;7851;Diesel;2016;103000;100;4;Manual;Blanco
2;Caravelle;VOLKSWAGEN Caravelle Largo 2.0 TDI 140 Comfortlin Edition BMT;19426;Diesel;2014;120000;140;4;Manual;Blanco
3;Transit;FORD Transit 350 96kW L4 Ambiente Propulsion Trasera;22850;Diesel;2017;107000;130;2;Manual;Blanco
4;3008;PEUGEOT 3008 Style 1.2 PureTech 130 SS 5p.;11490;Gasolina;2016;78665;130;5;Manual;Blanco
5;Discovery Sport;LAND-ROVER Discovery Sport 2.0L TD4 110kW 150CV 4x4 Pure 5p.;28500;Diesel;2017;36238;150;5;Automatico;Blanco
6;Civic;HONDA Civic 2.2 iDTEC Sport 5p.;8200;Diesel;2012;203000;150;5;Manual;Blanco
7;Berlingo;CITROEN Berlingo Multispace 20 Aniv. PureTech 81KW110CV 5p.;12100;Gasolina;2018;45000;110;5;Manual;Azul
8;NOTE;NISSAN NOTE 5p. 1.2G 80CV Acenta NissanConnect 5p.;6300;Gasolina;2016;77000;80;5;Manual;Blanco
9;Berlingo;CITROEN Berlingo Multispace 20 Aniv.BlueHDi 74KW 100CV;13900;Diesel;2017;81000;100;5;Manual;Gris / Plata
10;Polo;VOLKSWAGEN Polo 75 Trendline Auto 3p.;1300;Gasolina;2001;217000;75;3;Manual;Azul
11;Clase CL;MERCEDES-BENZ Clase CL CL 500 2p.;6900;Gasolina;2001;169450;306;2;Automatico;Gris / Plata
12;Panda;FIAT Panda 4X4 1.3 70kW 95CV Diesel E6 5p.;9500;Diesel;2017;101623;95;5;Manual;296 Blanco Gelato (pastel)
13;Octavia;SKODA Octavia 1.0 TSI 85KW 115CV Ambition 5p.;13990;Gasolina;2019;7591;115;5;Manual;Gris / Plata
14;C-Elysee;CITROEN CElysee VTi 115cv Exclusive 4p.;4990;Gasolina;2014;80000;115;4;Manual;Gris / Plata
15;Doblo;FIAT Doblo Panorama Family 7pl 1.9 Multijet DPF 5p.;8000;Diesel;2010;135000;120;5;Manual;Granate
16;C-Max;FORD CMax 1.0 EcoBoost 92kW 125CV Trend 5p.;12700;Gasolina;2018;53000;125;5;Manual;Gris / Plata
